,Year,Category,Cat_Type,Winner,Winning_Artist,Winning_Album,GenderAwards,Decade,Cat_Count,Cat_Type_Count,Winner_Count,Artist_Wins,Album_Wins
634,1992,Soul/R&B Female,Female Artist,Mariah Carey,Mariah Carey,,Female,1990,41,148,9,9.0,
761,1993,Soul/R&B Female,Female Artist,Patti Labelle ,Patti Labelle ,,Female,1990,41,148,1,1.0,
1005,1994,Soul/R&B Female,Female Artist,Whitney Houston,Whitney Houston,,Female,1990,41,148,10,21.0,
59,1995,Soul/R&B Female,Female Artist,Anita Baker ,Anita Baker ,,Female,1990,41,148,3,4.0,
635,1996,Soul/R&B Female,Female Artist,Mariah Carey,Mariah Carey,,Female,1990,41,148,9,9.0,
961,1997,Soul/R&B Female,Female Artist,Toni Braxton ,Toni Braxton ,,Female,1990,41,148,4,7.0,
636,1998,Soul/R&B Female,Female Artist,Mariah Carey,Mariah Carey,,Female,1990,41,148,9,9.0,
454,1999,Soul/R&B Female,Female Artist,Janet Jackson ,Janet Jackson ,,Female,1990,41,148,7,11.0,
561,2000,Soul/R&B Female,Female Artist,Lauryn Hill ,Lauryn Hill ,,Female,2000,41,148,2,3.0,
962,2001,Soul/R&B Female,Female Artist,Toni Braxton ,Toni Braxton ,,Female,2000,41,148,4,7.0,
5,2002,Soul/R&B Female,Female Artist,Aaliyah ,Aaliyah ,,Female,2000,41,148,1,2.0,
648,2003,Soul/R&B Female,Female Artist,Mary J. Blige ,Mary J. Blige ,,Female,2000,41,148,3,4.0,
52,2004,Soul/R&B Female,Female Artist,Alicia Keys ,Alicia Keys ,,Female,2000,41,148,3,5.0,
637,2005,Soul/R&B Female,Female Artist,Mariah Carey,Mariah Carey,,Female,2000,41,148,9,9.0,
649,2006,Soul/R&B Female,Female Artist,Mary J. Blige ,Mary J. Blige ,,Female,2000,41,148,3,4.0,
832,2007,Soul/R&B Female,Female Artist,Rihanna,Rihanna,,Female,2000,41,148,9,9.0,
833,2008,Soul/R&B Female,Female Artist,Rihanna,Rihanna,,Female,2000,41,148,9,9.0,
110,2009,Soul/R&B Female,Female Artist,Beyonce,Beyonce,,Female,2000,41,148,7,7.0,
834,2010,Soul/R&B Female,Female Artist,Rihanna,Rihanna,,Female,2010,41,148,9,9.0,
111,2011,Soul/R&B Female,Female Artist,Beyonce,Beyonce,,Female,2010,41,148,7,7.0,
112,2012,Soul/R&B Female,Female Artist,Beyonce,Beyonce,,Female,2010,41,148,7,7.0,
835,2013,Soul/R&B Female,Female Artist,Rihanna,Rihanna,,Female,2010,41,148,9,9.0,
113,2014,Soul/R&B Female,Female Artist,Beyonce,Beyonce,,Female,2010,41,148,7,7.0,
836,2015,Soul/R&B Female,Female Artist,Rihanna,Rihanna,,Female,2010,41,148,9,9.0,
425,1974,Pop/Rock Female,Female Artist,Helen Reddy ,Helen Reddy ,,Female,1970,42,148,1,1.0,
880,1974,Soul/R&B Male,Male Artist,Stevie Wonder,Stevie Wonder,,Male,1970,42,156,8,8.0,
741,1975,Pop/Rock Female,Female Artist,Olivia Newton-John,Olivia Newton-John,,Female,1970,42,148,6,6.0,
881,1975,Soul/R&B Male,Male Artist,Stevie Wonder,Stevie Wonder,,Male,1970,42,156,8,8.0,
97,1976,Soul/R&B Male,Male Artist,Barry White ,Barry White ,,Male,1970,42,156,1,1.0,
742,1976,Pop/Rock Female,Female Artist,Olivia Newton-John,Olivia Newton-John,,Female,1970,42,148,6,6.0,
743,1977,Pop/Rock Female,Female Artist,Olivia Newton-John,Olivia Newton-John,,Female,1970,42,148,6,6.0,
882,1977,Soul/R&B Male,Male Artist,Stevie Wonder,Stevie Wonder,,Male,1970,42,156,8,8.0,
569,1978,Pop/Rock Female,Female Artist,Linda Ronstadt ,Linda Ronstadt ,,Female,1970,42,148,2,3.0,
883,1978,Soul/R&B Male,Male Artist,Stevie Wonder,Stevie Wonder,,Male,1970,42,156,8,8.0,
570,1979,Pop/Rock Female,Female Artist,Linda Ronstadt ,Linda Ronstadt ,,Female,1970,42,148,2,3.0,
599,1979,Soul/R&B Male,Male Artist,Lou Rawls ,Lou Rawls ,,Male,1970,42,156,1,2.0,
920,1979,Soul/R&B Male,Male Artist,Teddy Pendergrass ,Teddy Pendergrass ,,Male,1970,42,156,1,1.0,
301,1980,Pop/Rock Female,Female Artist,Donna Summer ,Donna Summer ,,Female,1980,42,148,3,6.0,
683,1980,Soul/R&B Male,Male Artist,Michael Jackson,Michael Jackson,,Male,1980,42,156,11,24.0,
93,1981,Pop/Rock Female,Female Artist,Barbra Streisand ,Barbra Streisand ,,Female,1980,42,148,1,1.0,
684,1981,Soul/R&B Male,Male Artist,Michael Jackson,Michael Jackson,,Male,1980,42,156,11,24.0,
758,1982,Pop/Rock Female,Female Artist,Pat Benatar,Pat Benatar,,Female,1980,42,148,3,3.0,
884,1982,Soul/R&B Male,Male Artist,Stevie Wonder,Stevie Wonder,,Male,1980,42,156,8,8.0,
583,1983,Soul/R&B Male,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,42,156,8,8.0,
744,1983,Pop/Rock Female,Female Artist,Olivia Newton-John,Olivia Newton-John,,Female,1980,42,148,6,6.0,
685,1984,Soul/R&B Male,Male Artist,Michael Jackson,Michael Jackson,,Male,1980,42,156,11,24.0,
759,1984,Pop/Rock Female,Female Artist,Pat Benatar,Pat Benatar,,Female,1980,42,148,3,3.0,
255,1985,Pop/Rock Female,Female Artist,Cyndi Lauper ,Cyndi Lauper ,,Female,1980,42,148,2,2.0,
885,1986,Soul/R&B Male,Male Artist,Stevie Wonder,Stevie Wonder,,Male,1980,42,156,8,8.0,
949,1986,Pop/Rock Female,Female Artist,Tina Turner ,Tina Turner ,,Female,1980,42,148,3,3.0,
584,1987,Soul/R&B Male,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,42,156,8,8.0,
995,1987,Pop/Rock Female,Female Artist,Whitney Houston,Whitney Houston,,Female,1980,42,148,10,21.0,
606,1988,Soul/R&B Male,Male Artist,Luther Vandross,Luther Vandross,,Male,1980,42,156,6,6.0,
996,1988,Pop/Rock Female,Female Artist,Whitney Houston,Whitney Houston,,Female,1980,42,148,10,21.0,
391,1989,Soul/R&B Male,Male Artist,George Michael ,George Michael ,,Male,1980,42,156,2,3.0,
997,1989,Pop/Rock Female,Female Artist,Whitney Houston,Whitney Houston,,Female,1980,42,148,10,21.0,
607,1990,Soul/R&B Male,Male Artist,Luther Vandross,Luther Vandross,,Male,1990,42,156,6,6.0,
767,1990,Pop/Rock Female,Female Artist,Paula Abdul ,Paula Abdul ,,Female,1990,42,148,3,3.0,
450,1991,Pop/Rock Female,Female Artist,Janet Jackson ,Janet Jackson ,,Female,1990,42,148,7,11.0,
621,1991,Soul/R&B Male,Male Artist,M.C. Hammer ,M.C. Hammer ,,Male,1990,42,156,4,8.0,
608,1992,Soul/R&B Male,Male Artist,Luther Vandross,Luther Vandross,,Male,1990,42,156,6,6.0,
768,1992,Pop/Rock Female,Female Artist,Paula Abdul ,Paula Abdul ,,Female,1990,42,148,3,3.0,
138,1993,Soul/R&B Male,Male Artist,Bobby Brown ,Bobby Brown ,,Male,1990,42,156,2,3.0,
631,1993,Pop/Rock Female,Female Artist,Mariah Carey,Mariah Carey,,Female,1990,42,148,9,9.0,
609,1994,Soul/R&B Male,Male Artist,Luther Vandross,Luther Vandross,,Male,1990,42,156,6,6.0,
998,1994,Pop/Rock Female,Female Artist,Whitney Houston,Whitney Houston,,Female,1990,42,148,10,21.0,
82,1995,Soul/R&B Male,Male Artist,Babyface ,Babyface ,,Male,1990,42,156,3,3.0,
632,1995,Pop/Rock Female,Female Artist,Mariah Carey,Mariah Carey,,Female,1990,42,148,9,9.0,
610,1996,Soul/R&B Male,Male Artist,Luther Vandross,Luther Vandross,,Male,1990,42,156,6,6.0,
633,1996,Pop/Rock Female,Female Artist,Mariah Carey,Mariah Carey,,Female,1990,42,148,9,9.0,
48,1997,Pop/Rock Female,Female Artist,Alanis Morissette ,Alanis Morissette ,,Female,1990,42,148,1,2.0,
509,1997,Soul/R&B Male,Male Artist,Keith Sweat ,Keith Sweat ,,Male,1990,42,156,1,1.0,
83,1998,Soul/R&B Male,Male Artist,Babyface ,Babyface ,,Male,1990,42,156,3,3.0,
218,1998,Pop/Rock Female,Female Artist,Celine Dion ,Celine Dion ,,Female,1990,42,148,5,5.0,
219,1999,Pop/Rock Female,Female Artist,Celine Dion ,Celine Dion ,,Female,1990,42,148,5,5.0,
1016,1999,Soul/R&B Male,Male Artist,Will Smith ,Will Smith ,,Male,1990,42,156,3,5.0,
790,2000,Soul/R&B Male,Male Artist,R. Kelly ,R. Kelly ,,Male,2000,42,156,1,1.0,
860,2000,Pop/Rock Female,Female Artist,Shania Twain,Shania Twain,,Female,2000,42,148,5,5.0,
156,2001,Soul/R&B Male,Male Artist,Brian Mcknight ,Brian Mcknight ,,Male,2000,42,156,1,1.0,
353,2001,Pop/Rock Female,Female Artist,Faith Hill,Faith Hill,,Female,2000,42,148,4,4.0,
451,2002,Pop/Rock Female,Female Artist,Janet Jackson ,Janet Jackson ,,Female,2000,42,148,7,11.0,
611,2002,Soul/R&B Male,Male Artist,Luther Vandross,Luther Vandross,,Male,2000,42,156,6,6.0,
331,2003,Soul/R&B Male,Male Artist,Eminem,Eminem,,Male,2000,42,156,5,5.0,
864,2003,Pop/Rock Female,Female Artist,Sheryl Crow ,Sheryl Crow ,,Female,2000,42,148,2,2.0,
